ID,Start time,Completion time,Email,Name,Last modified time,What is your gender?,In which year you were born: ________ (e.g.1998),What is your current employment status? ,How frequently do you buy clothes before COVID-19 pandemic?,How frequently do you buy clothes after the COVID-19 pandemic?,"To what extent does your budget share on fast fashion items than before the COVID-19 pandemic? (e.g. 20% for increase 20%, -20% for decrease 20%)",Column,2,"Statement when deciding to purchase a new fast fashion item before the COVID-19 pandemic
  ",Please specify the reason,"Statement when deciding to purchase a new fast fashion item after the COVID-19 pandemic
  ",Please specify the reason2,3,4,5,6,High quality fabric     ,Fashionable design,Superior craftsmanship,  Easy to maintain, Use recycled and eco-friendly materials, Products come from a fair-traded company ,Price ,Suitable for various occasions,High quality fabric     2,Fashionable design2,Superior craftsmanship , Easy to maintain     , Use recycled and eco-friendly materials     , Products come from a fair-traded company 2, Price,Suitable for various occasions2,Describe any changes you've noticed in your lifestyle due to the COVID-19 pandemic and how these have affected your clothing purchases. , How do you deal with the old clothes or the clothes you don’t like before the COVID-19 pandemic,Please specify the measurement,"How do you deal with the old clothes or the clothes you don’t like after the COVID-19 pandemic
  
",Please specify the measurement2,7,8,9,10, Have you observed an increase in marketing related to sustainability from fast fashion brands since the COVID-19 pandemic? How does this influence your purchasing decisions?,How has your perception of sustainable fashion changed since the COVID-19 pandemic? What could be your motivation for a sustainable fashion purchase? Please describe in detail.,"Describe any significant changes you've noticed in the quality, sustainability, or marketing of fast fashion products since the COVID-19 pandemic began."
1,7/29/24 14:33:29,7/29/24 14:47:10,anonymous,,,Woman,2002,Students,Every two month,,0,Neither agree nor disagree,Agree,When I find a piece I like,,When I find a piece I like,,,Agree,Agree,Agree,Neutral,More Important,Neutral,Neutral,Neutral,Neutral,More Important,More Important,Neutral,More Important,Neutral,Neutral,Neutral,Neutral,More Important,More Important,"Due to the fact that people need to stay at home for most of the time during the epidemic, my desire to buy clothes has decreased, and I am more inclined to buy comfortable and durable clothes.",I have them in my closet but never use them.,,I have them in my closet but never use them.,,Neither agree nor disagree,Agree,Neutral,Neither agree nor disagree,Somewhat increased and somewhat influenced my decisions,"Purchasing sustainable fashion can better cope with the decrease in income and living standards caused by unexpected situations. In the future, I will be more inclined to purchase such products.","The quality of fast fashion products at the same price has decreased compared to before the epidemic, and marketing has increased."
2,8/1/24 12:40:26,8/1/24 12:47:50,anonymous,,,Man,2001,Students,Monthly ,Weekly,-20%,Strongly agree,Agree,When I am bored with my current clothes,,When I find a piece I like,,Agree,Disagree,Agree,Disagree,More Important,More Important,More Important,Significant more important,Neutral,Neutral,More Important,Significant more important,Significant more important,Significant more important,Neutral,More Important,Neutral,Neutral,less important,More Important,I desire better design.,I throw them aside.,,I donate them.,,,Strongly disagree,Somewhat important,Agree,Somewhat increased and somewhat influenced my decisions,I tried to be more environment-friendly.,
3,8/1/24 12:56:09,8/1/24 13:04:47,anonymous,,,Woman,1974,Retired ,Quarterly,Annually,add 10%,Agree,Agree,When I find a piece I like,,When I find a piece I like,,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,less important,Significant more important,More Important,More Important,More Important,More Important,More Important,More Important,Neutral,More Important,More Important,,More Important,More Important,More Important,More Important,,I donate them.,,I donate them.,,,Neither agree nor disagree,Somewhat important,Agree,I have not noticed any changes,,
4,8/1/24 13:04:47,8/1/24 13:09:37,anonymous,,,Woman,1971,Full-time employed,Quarterly,Quarterly,0,Neither agree nor disagree,Neither agree nor disagree,When my clothes wear out,,When I am bored with my current clothes,,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,Neutral,,More Important,More Important,Neutral,Neutral,Neutral,Neutral,Neutral,More Important,More Important,More Important,Neutral,Neutral,,I donate them.,,I donate them.,,,Agree,Somewhat important,Agree,Somewhat increased and somewhat influenced my decisions,,
5,8/1/24 13:17:37,8/1/24 13:35:57,anonymous,,,Woman,1975, Self-employed,Quarterly,Annually,-50%,Neither agree nor disagree,Neither agree nor disagree,When I am bored with my current clothes,,When my clothes wear out,,Agree,Disagree,Neither agree nor disagree,Agree,Neutral,More Important,Neutral,More Important,Neutral,Neutral,Neutral,Neutral,less important,Neutral,less important,More Important,Neutral,Neutral,More Important,More Important,I now consider social needs less when choosing my clothes.,I donate them.,,I reuse them after renovation.,,,Agree,Neutral,Disagree,No change in marketing and no influence on my decisions,I didn’t take sustainability to my consideration ,"No, I didn’t notice any change"
6,8/1/24 13:13:30,8/1/24 13:39:02,anonymous,,,Man,1981,Part-time employed,Weekly,Weekly,not change,Neither agree nor disagree,Neither agree nor disagree,When I find a piece I like,,When I find a piece I like,,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,More Important,Neutral,less important,More Important,less important,Neutral,More Important,Significant more important,More Important,Neutral,less important,More Important,less important,Neutral,More Important,Significant more important,"nothing to change
maybe i am not a normal one
",Other,sale them  on the net,Other,sale them  on the net,Neither agree nor disagree,Neither agree nor disagree,Somewhat not important,Neither agree nor disagree,I have not noticed any changes,anyway i always buy   fashion products in the secondhand store.,"I have not noticed any changes。like other things, fast fashion products　became   more  expensive"
7,8/2/24 9:10:25,8/2/24 9:22:16,anonymous,,,Man,1977,Full-time employed,Annually,Annually,-20%,Neither agree nor disagree,Strongly agree,When my clothes wear out,,When I find a piece I like,,Agree,Agree,Neither agree nor disagree,Agree,less important,Significant less important,less important,less important,less important,less important,Significant less important,Significant less important,Neutral,Significant less important,less important,less important,less important,less important,less important,less important,nothing to change my clothing purchases,I donate them.,,I throw them aside.,,,Neither agree nor disagree,Neutral,Neither agree nor disagree,Greatly increased and positively influenced my decisions,fashion items are far away from me.,not to notice fashion products.
8,8/2/24 9:14:14,8/2/24 9:22:58,anonymous,,,Woman,1992,Full-time employed,Quarterly,Quarterly,-20%,Agree,Agree,When I find a piece I like,,When my clothes wear out,,Disagree,Disagree,Agree,Neither agree nor disagree,Neutral,Neutral,Neutral,More Important,less important,less important,Significant less important,less important,More Important,Neutral,Neutral,More Important,less important,Neutral,Significant more important,More Important,"Much more cautious on spending money, and prefer items that truly worth the money. Would go to PDD more than before. (0% ->60%)",I throw them aside.,,I throw them aside.,,,Neither agree nor disagree,Somewhat not important,Neither agree nor disagree,I have not noticed any changes,"I don’t that care. I am sorry. As long as the items worth the money, I don’t care about others.",Haven’t paid much attention to it.
9,8/2/24 9:23:22,8/2/24 9:56:28,anonymous,,,Woman,1999,Full-time employed,Monthly ,Quarterly,-50%,Agree,Agree,When new trendy clothes releasing,,When I find a piece I like,,Agree,Disagree,Disagree,Disagree,Neutral,More Important,Neutral,More Important,less important,Neutral,More Important,Neutral,More Important,Neutral,More Important,More Important,More Important,More Important,Neutral,Neutral,"After the epidemic, I prefer to spend three-quarters of my disposable income on improving the quality of life and increasing happiness. Buying clothes has become very cautious, and I will repeatedly consider whether this product is worth its price.",I donate them.,,I throw them aside.,,,Strongly agree,Somewhat important,Strongly agree,Somewhat increased and somewhat influenced my decisions,"My attitude towards sustainable fashion has changed from ""I know it"" to ""support it within my capacity"". The reason why I buy sustainable goods is that I have a very detailed understanding of this hot topic and understand and support it.",I haven't found a lot of information or marketing about the sustainability of fast fashion in mainland China. Some domestic or international brands through B crop will display relevant logos in off-line stores.
10,8/2/24 9:58:16,8/2/24 10:07:41,anonymous,,,Woman,1968,Retired ,Monthly ,Monthly ,没留意到,Agree,Neither agree nor disagree,When I find a piece I like,,When I find a piece I like,,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neutral,Neutral,More Important,Neutral,Neutral,less important,less important,less important,less important,less important,More Important,less important,Neutral,Neutral,Neutral,Neutral,没有改变                  ,I throw them aside.,,I throw them aside.,,,Neither agree nor disagree,Neutral,Neither agree nor disagree,I have not noticed any changes,全凭自己喜好                 ,没注意到                  
